epoch, train_loss        , train_acc, val_loss          , val_acc
    1, 2.3617125415802   ,  0.1405  , 2.118681396484375 ,  0.2265
    2, 2.154467963218689 ,  0.176625, 1.9679846858978272,  0.2685
    3, 2.0592787046432495,  0.215375, 1.8395746974945069,  0.333
    4, 1.9555055456161499,  0.245875, 1.7448075332641602,  0.356
    5, 1.8673979444503783,  0.2815  , 1.7191495037078857,  0.3805
    6, 1.7988089246749879,  0.320875, 1.5865993032455443,  0.4145
    7, 1.7442057762145997,  0.33625 , 1.518104507446289 ,  0.436
    8, 1.6838968229293823,  0.369375, 1.458865447998047 ,  0.4575
    9, 1.6372339248657226,  0.389625, 1.440866455078125 ,  0.4655
   10, 1.6052801065444946,  0.404   , 1.4239530925750732,  0.4905
   11, 1.5468583164215088,  0.429375, 1.3620088691711425,  0.4945
   12, 1.5184452152252197,  0.4385  , 1.326443531036377 ,  0.5065
   13, 1.4972794303894044,  0.45375 , 1.306585159301758 ,  0.529
   14, 1.4625230875015258,  0.473875, 1.2931935672760009,  0.5175
   15, 1.4392264289855956,  0.4755  , 1.3512401723861693,  0.507
   16, 1.4367067050933837,  0.479875, 1.2904610185623169,  0.5445
   17, 1.3967765645980834,  0.496375, 1.2339117946624756,  0.552
   18, 1.3868548059463501,  0.50325 , 1.231838028907776 ,  0.543
   19, 1.3647234487533568,  0.511125, 1.2652329483032227,  0.5435
   20, 1.3626154203414917,  0.518875, 1.2206950969696044,  0.552
   21, 1.3281902637481688,  0.5215  , 1.1564198589324952,  0.5825
   22, 1.3076432952880859,  0.537375, 1.1987867202758788,  0.5785
   23, 1.283818468093872 ,  0.54275 , 1.147747841835022 ,  0.588
   24, 1.296282600402832 ,  0.542   , 1.2267550973892212,  0.559
   25, 1.2590930280685424,  0.559   , 1.1284860982894898,  0.603
   26, 1.24477952003479  ,  0.563875, 1.1269790105819701,  0.5955
   27, 1.232114529132843 ,  0.565   , 1.1392906947135926,  0.581
   28, 1.2229706315994262,  0.569875, 1.0999486713409423,  0.607
   29, 1.2102597465515137,  0.572375, 1.099838827610016 ,  0.601
   30, 1.2025920910835266,  0.5775  , 1.097222243309021 ,  0.608
